,original_title,label,sentences,imageArrays,overview
675,Operation Dumbo Drop,5,dont think anything absolutely bad emoperation dumbo dropem pretty lacklustre bit slow sit like cast danny glover cahill ray liotta doyle solid together denis leary poole doug doug ashford may give anything memorable alright dinh thien le linh also interesting see raymond cruz appear early years pretuco it seems trio glover liotta leary really dont rate given latters comments later years though sounds like thats filming process rather end product likely wont revisiting time soon dont hate anything,"[[[0.3372549  0.64705884 0.7764706 ]
  [0.34509805 0.6313726  0.76862746]
  [0.36862746 0.6431373  0.78431374]
  ...
  [0.38039216 0.6392157  0.7647059 ]
  [0.38431373 0.6431373  0.76862746]
  [0.3764706  0.64705884 0.7764706 ]]

 [[0.35686275 0.6313726  0.7647059 ]
  [0.37254903 0.6392157  0.7764706 ]
  [0.38039216 0.64705884 0.78431374]
  ...
  [0.4745098  0.6745098  0.7882353 ]
  [0.44705883 0.654902   0.7764706 ]
  [0.44313726 0.65882355 0.78039217]]

 [[0.3882353  0.6392157  0.7764706 ]
  [0.3882353  0.64705884 0.78039217]
  [0.38431373 0.6431373  0.7764706 ]
  ...
  [0.6039216  0.74509805 0.80784315]
  [0.5882353  0.73333335 0.80784315]
  [0.53333336 0.69411767 0.78039217]]

 ...

 [[0.1882353  0.3137255  0.2627451 ]
  [0.28235295 0.43137255 0.38039216]
  [0.11372549 0.23921569 0.19607843]
  ...
  [0.10980392 0.11372549 0.12156863]
  [0.03921569 0.04313726 0.05098039]
  [0.0627451  0.06666667 0.07450981]]

 [[0.2627451  0.38039216 0.33333334]
  [0.09019608 0.2        0.15294118]
  [0.10980392 0.2509804  0.20392157]
  ...
  [0.0627451  0.06666667 0.07450981]
  [0.0627451  0.06666667 0.07450981]
  [0.04313726 0.04705882 0.05490196]]

 [[0.1254902  0.26666668 0.21176471]
  [0.13333334 0.22352941 0.18431373]
  [0.02352941 0.05882353 0.04705882]
  ...
  [0.09019608 0.09411765 0.10196079]
  [0.0627451  0.06666667 0.07450981]
  [0.05490196 0.05882353 0.06666667]]]","Five Green Berets stationed in Vietnam in 1968 grudgingly undertake the mission of a lifetime -- to secretly transport an 8,000-pound elephant through 200 miles of rough jungle terrain. High jinks prevail when Capt. Sam Cahill promises the Montagnard villagers of Dak Nhe that he'll replace their prized elephant in time for an important ritual. But for Capt. T.C. Doyle, the mission becomes a jumbo-sized headache!"
681,True Crime,5,alicia silverstone teen sleuth released to video in written directed pat verducci true crime aka mysterycrimeteenromance starring alicia silverstone catholic school senior california befriends police cadet kevin dillon solve case serial killings young women their investigations lead traveling carnival bill nunn plays detective friend boss this came right breakthrough flicks entertaining pales comparison the main problem cast locations excellent percussionoriented score rather script specifically killer turns with couple imaginative tweaks satisfying teen mystery la nancy drew considerable edge still silverstone makes agreeable along highlights noted if like two flicks must the movie runs hour minutes shot los feliz los angeles ca grade,"[[[0.02745098 0.02352941 0.05490196]
  [0.02745098 0.02352941 0.05490196]
  [0.02745098 0.02352941 0.05490196]
  ...
  [0.03137255 0.02745098 0.05882353]
  [0.03137255 0.02745098 0.05882353]
  [0.03137255 0.02745098 0.05882353]]

 [[0.03137255 0.02745098 0.05882353]
  [0.03137255 0.02745098 0.05882353]
  [0.03137255 0.02745098 0.05882353]
  ...
  [0.03529412 0.03137255 0.0627451 ]
  [0.03137255 0.02745098 0.05882353]
  [0.03137255 0.02745098 0.05882353]]

 [[0.03137255 0.02745098 0.05882353]
  [0.03137255 0.02745098 0.05882353]
  [0.03137255 0.02745098 0.05882353]
  ...
  [0.02745098 0.02352941 0.05490196]
  [0.02745098 0.02352941 0.05490196]
  [0.02745098 0.02352941 0.05490196]]

 ...

 [[0.01568628 0.02745098 0.05490196]
  [0.01568628 0.02745098 0.05490196]
  [0.01568628 0.02745098 0.05490196]
  ...
  [0.01568628 0.02745098 0.05490196]
  [0.01568628 0.02745098 0.05490196]
  [0.01568628 0.02745098 0.05490196]]

 [[0.01568628 0.02745098 0.05490196]
  [0.01568628 0.02745098 0.05490196]
  [0.01568628 0.02745098 0.05490196]
  ...
  [0.01568628 0.02745098 0.05490196]
  [0.01568628 0.02745098 0.05490196]
  [0.01568628 0.02745098 0.05490196]]

 [[0.01960784 0.03137255 0.05882353]
  [0.00784314 0.01960784 0.04705882]
  [0.01568628 0.02745098 0.05490196]
  ...
  [0.01568628 0.02745098 0.05490196]
  [0.01568628 0.02745098 0.05490196]
  [0.01568628 0.02745098 0.05490196]]]","Mary Giordano is a bright, intelligent student who goes to a catholic school. She also has a addiction to mystery novels and detective magazines (hence the title of the movie), which inspire her to do her own detective work. When she starts snooping around on the case of a murderer of teenage girls, it gets her in hot water with her mentor Detective Jerry Gunn. But it also starts a team up with police cadet Tony Campbell. The two work together to find the murderer. But the closer Mary gets to solving the murder, the more danger she puts herself in of being the next victim."
693,Mulholland Falls,6,there aint falls la mulholland falls directed lee tamahori written pete dexter it stars nick nolte chazz palminteri melanie griffith michael madsen chris penn jennifer connelly treat williams john malkovich bruce dern andrew mccarthy music dave grusin cinematography haskell wexler los angeles four unorthodox detectives led maxwell hoover nolte called investigate death young woman found crushed construction site the woman revealed aspiring actress recently relationship married hoover can open worms everywhere following worms leads hoover murky avenues its almost nearly great neonoir movie everything looks right principal strongly assembled cast visuals cinematography splendid murder mystery element plot added sex sizzle nuclear shenanigans looks promising page yet never delivers promise something dark labyrinthine noir thriller beating black heart it starts well based infamous hat squad reasonably expect story expand upon opening macho machinations four tough hombres hats instead away noltes grizzled hoover three guys merely dressed props which means theres good actors wasted sadly as plot moves slowly forward investigation hoover character axis becomes less interesting griffith came critical grief lacklustre performance shes done favours writers fail give marriage hoover substance so things go pear shaped characters mr mrs hoover explode screen really dont care interest previously hang emotional it builds best described poor pay resolution hinted muddy mystery hardly shocking big faceoff sequence good bad guys bad bad prefer exciting watching paint dry its awful movie disappointing one film bit thought given producers could yielded much,"[[[0.00392157 0.00392157 0.00392157]
  [0.00784314 0.00784314 0.00784314]
  [0.00784314 0.00784314 0.00784314]
  ...
  [0.00784314 0.00784314 0.00784314]
  [0.00784314 0.00784314 0.00784314]
  [0.00784314 0.00784314 0.00784314]]

 [[0.00392157 0.00392157 0.00392157]
  [0.00784314 0.00784314 0.00784314]
  [0.00784314 0.00784314 0.00784314]
  ...
  [0.00784314 0.00784314 0.00784314]
  [0.00784314 0.00784314 0.00784314]
  [0.00784314 0.00784314 0.00784314]]

 [[0.00392157 0.00392157 0.00392157]
  [0.00784314 0.00784314 0.00784314]
  [0.00784314 0.00784314 0.00784314]
  ...
  [0.00784314 0.00784314 0.00784314]
  [0.00784314 0.00784314 0.00784314]
  [0.00784314 0.00784314 0.00784314]]

 ...

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]]","In 1950s Los Angeles, a special crime squad of the LAPD investigates the murder of a young woman."
694,The Truth About Cats & Dogs,6,good watch could watch recommend this movie held long period time due stellar performances janeane garofalo uma thurman thats really going great actors giving solid delivery decent script it remind cyrano de bergerac bit classic switcheroo trope romantic comedy gives life lesson beauty make my biggest problem basically call garofalo ugly shes thurman doesnt make sense other script strong enough without spectacular feel like cast work hard make movie modern day reboot surely way podcast name,"[[[0.         0.10980392 0.14117648]
  [0.30980393 0.6627451  0.87058824]
  [0.08235294 0.7254902  0.972549  ]
  ...
  [0.5137255  0.7176471  0.76862746]
  [0.53333336 0.7294118  0.69411767]
  [0.2509804  0.39607844 0.36862746]]

 [[0.         0.09411765 0.09411765]
  [0.09411765 0.10980392 0.11372549]
  [0.00392157 0.02352941 0.03921569]
  ...
  [0.13725491 0.4745098  0.6117647 ]
  [0.16470589 0.43137255 0.38039216]
  [0.         0.1764706  0.1764706 ]]

 [[0.07843138 0.18039216 0.24705882]
  [0.         0.11764706 0.12156863]
  [0.21176471 0.3372549  0.38039216]
  ...
  [0.2784314  0.5647059  0.73333335]
  [0.4392157  0.6509804  0.41568628]
  [0.16078432 0.68235296 0.7490196 ]]

 ...

 [[0.7294118  0.8        0.85490197]
  [0.7529412  0.8039216  0.8666667 ]
  [0.69411767 0.76862746 0.8235294 ]
  ...
  [0.8392157  0.85490197 0.8980392 ]
  [0.78039217 0.79607844 0.8392157 ]
  [0.8235294  0.8392157  0.88235295]]

 [[0.7137255  0.7764706  0.827451  ]
  [0.73333335 0.79607844 0.84705883]
  [0.68235296 0.74509805 0.79607844]
  ...
  [0.8        0.8156863  0.85882354]
  [0.79607844 0.8117647  0.85490197]
  [0.83137256 0.84705883 0.8901961 ]]

 [[0.70980394 0.77254903 0.8235294 ]
  [0.69411767 0.75686276 0.80784315]
  [0.7058824  0.76862746 0.81960785]
  ...
  [0.77254903 0.7882353  0.83137256]
  [0.7921569  0.80784315 0.8509804 ]
  [0.7647059  0.78039217 0.8235294 ]]]",A successful veterinarian and radio show host with low self-esteem asks her model friend to impersonate her when a handsome man wants to see her.
702,Switchblade Sisters,7,little uneven times still engaging exploitation thriller fine performances joanne nail robbie lee dialogue pretty sharp its one movies takes bit accept bunch juveniles part organized gang plus one scene rape kind never dealt as whole movie okay,"[[[1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  ...
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]]

 [[1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  ...
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  [0.99607843 0.99607843 0.99607843]]

 [[1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  ...
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]]

 ...

 [[1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  ...
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]]

 [[1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  ...
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]]

 [[1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  ...
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  [0.99607843 0.99607843 0.99607843]]]","A tough gang of teenage girls are looking for love and fighting for turf on the mean streets of the city! Bad girls to the core, these impossibly outrageous high school hoodlums go where they want ... and create mayhem wherever they go!"
705,Multiplicity,6,keaton top form charming enjoyable scifi comedy picture doug kinney never enough time wants life frantic family life strained one day gets chance duplicated it would seem lot complaints film waste good premise well sure multiplicity far comic masterpiece say doesnt deliver laughs set amongst charming romantic heart touch unfair feel what get four doug kinneys one driving personality make real easy audience distinguish so michael keaton delivering four excellent performances dougs comic relief flows pretty much picture however director harold ramis guilty staying safe material hand conclusion never doubt feel good factor evident even dougs chaotically imploding but really reason film well far im concerned multiplicity tidy fusion scifi comedy romance isnt taking science literally for doug number alone skiing skills pizza fetish film deserves whilst keaton deserves far higher score indeed,"[[[1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]
  ...
  [1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]]

 [[1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]
  ...
  [1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]]

 [[1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]
  ...
  [1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]]

 ...

 [[1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]
  ...
  [1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]]

 [[1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]
  ...
  [1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]]

 [[1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]
  ...
  [1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]]]","Construction worker Doug Kinney finds that the pressures of his working life, combined with his duties to his wife Laura and daughter Jennifer leaves him with little time for himself. However, he is approached by geneticist Dr. Owen Leeds, who offers Doug a rather unusual solution to his problems: cloning."
716,The Rock,7,alcatraz only one man ever broken now five million lives depend two men breaking michael bays best picture the sophomore effort director michael bay million dollar action film released nationwide june eventually earning million the particularly great rrated premise sees mildmannered chemist teaming resourceful excon must infiltrate alcatraz prison rogue group military men led renegade general threaten nervegas attack constantly head never one use profane language nicholas cage excellent quirky chemist often resorting quips jokes lieu violence in character feels like sort spiritual successor portrayal james bond sean connery patient skilled operative after false imprisonment hes recruited jail help feds sneak onto alcatraz hes person successfully escaped prison facility decades earlier when hes required finally put knowledge defunct prison test disbelief amazement military companions quite amusing the unlikely pairing two honestly best part film cages zany behavior perfect foil connerys relaxed confidence the british excon chastises younger counterpart best yourbest losers always whine best winners go home bang prom queen after quick beat sly grin nicholas responds carla prom queen this isnt funny encapsulation relationship one alltime favorite exchanges action movie ed harris phenomenal quote bad guy disillusioned marine general whose terrorist actions secure reparations forgotten fallen soldiers its honestly perfectly understandable dare say noble position man willing commit treason risk life help families former troops which governments handling ultimate dismissal ransom request perplexing frustrating before ordering massive aerial kill strike entire island president gives impassioned speech seemingly empty oval office impossible decision highlights aforementioned plot hole harris asked million dollars give money the supporting cast stacked even excellent talent david morse william forsythe michael beihn xander berkeley phillip baker hall of particular note however john spencer fantastic work conflicted fbi director reluctantly recruits connery tony todd one best onscreen deaths ever john mcginley whose unrealistic performance overeager marine makes seem miscast trio composers including hans zimmer bring interesting appropriate ideas soundtrack utilizing synthesized themes electric guitars it feels reminiscent excellent score rainbow six video game came two years later while feature never quite breaks mold definitely represents best possible version stereotypical action film for rewatchable thrillride plenty excitement memorable characters look the rock explosive fun never takes seriously perhaps bays best film thought awesome welcome the rock the rock directed michael bay written david weisberg douglas cook mark rosner it stars sean connery nicolas cage ed harris david morse william forsythe michael biehn when highly decorated army general harris decides hes enough men dying getting credit deserve commandeers alcatraz prison crack unit mercs the plan hold government ransom unleash prison biological rockets bring armageddon upon america enter chemical weapons expert dr stanley goodspeed cage forced team man ever escape alcatraz mysteriously incarcerated secret john patrick mason connery break rock thwart plans mercs so cage chemistry expert possible holds fate world shaky hands connery aged tough prison escapee sporting grunge haircut and ed harris surely bastion patriotic americana turning bad wanting unleash hell stars stripes to expect nothing else berserker michael bayhem picture based facts surely folly he certainly varied cv bay leading actors show form writers prepared put blood characters bay deliver high octane entertainment coupled cast clearly tune material such case its award winner naturally political smarts within script and want explosions shoot outs quips aplenty then really serve well couple hours the two lead characters impact events move pretty negligible everyone everything laughably stupid see begin blossom stereotypes michael bay would go ruin everything ever touched still kind like the rock maybe comparison bays films maybe one works saw still singledigit aged enjoy im willing defend rewatch decade final liked would personally recommend give go,"[[[0.12941177 0.01176471 0.01176471]
  [0.1764706  0.04313726 0.04705882]
  [0.21568628 0.07450981 0.08235294]
  ...
  [0.2784314  0.08235294 0.08627451]
  [0.24313726 0.09019608 0.0627451 ]
  [0.24313726 0.03137255 0.02352941]]

 [[0.12941177 0.01568628 0.        ]
  [0.19607843 0.04705882 0.04313726]
  [0.18431373 0.01960784 0.02352941]
  ...
  [0.1764706  0.02745098 0.01568628]
  [0.20784314 0.         0.00392157]
  [0.3254902  0.10588235 0.11764706]]

 [[0.21176471 0.03529412 0.02352941]
  [0.21960784 0.03137255 0.02352941]
  [0.21568628 0.03921569 0.02745098]
  ...
  [0.26666668 0.07450981 0.08627451]
  [0.13333334 0.00784314 0.01176471]
  [0.09803922 0.01568628 0.00392157]]

 ...

 [[0.20392157 0.03921569 0.05490196]
  [0.1764706  0.05098039 0.05490196]
  [0.16078432 0.01960784 0.02745098]
  ...
  [0.24705882 0.02352941 0.04705882]
  [0.21568628 0.03921569 0.05098039]
  [0.21960784 0.06666667 0.07058824]]

 [[0.11372549 0.00392157 0.        ]
  [0.10196079 0.02745098 0.01176471]
  [0.12156863 0.03921569 0.01960784]
  ...
  [0.27058825 0.03921569 0.05490196]
  [0.2        0.03529412 0.04313726]
  [0.21960784 0.05490196 0.0627451 ]]

 [[0.25490198 0.04705882 0.07058824]
  [0.16078432 0.         0.00392157]
  [0.09411765 0.         0.        ]
  ...
  [0.21960784 0.05490196 0.05882353]
  [0.19215687 0.07450981 0.07450981]
  [0.14117648 0.02352941 0.02352941]]]","A group of renegade marine commandos seizes a stockpile of chemical weapons and takes over Alcatraz, with 81 tourists as hostages. Their leader demands $100 million to be paid, as restitution to families of Marines who died in covert ops – or he will launch 15 rockets carrying deadly VX gas into the San Francisco Bay area."
728,Force of Evil,7,black sheep like make everybody else look black force evil directed abraham polonsky also adapts screenplay ira wolfert novel tuckers people it stars john garfield thomas gomez beatrice pearson marie windsor howard chamberlain roy roberts music david raksin cinematography george barnes plot finds garfield lawyer joe morse works powerful gangster ben tucker roberts tucker plan control numbers rackets new york something fix numbers coming july see smaller number rackets go bust this problem morse big brother leo gomez one operator honest good guy everything could ensure joe proper start life it come regarded influential important movie film noir pantheon big critics big film makers film noir aficionados queued salute polonskys film if worthy elegant praise always debatable film uniqueness using stylised dialogue passages opening corrupt socially bankrupt worms cinema loving world polonsky crafted thematically potent crime picture the exchanges garfield love interest pearson almost poetic flow film running time shows badness beaten best cant railed broken away easily while biblical tones allusions allegorically speaking also give picture added power though mostly talky main burst shocking violence final quarter finale contains distress segueing possibility spiritual maybe prove futile added biting narrative great cast performances evocative music scoring skilled location photography adding authenticity hard see come revered not bleak title suggests veering bit close arty good sometimes still fine experience rewards viewings,"[[[1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]
  ...
  [1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]]

 [[1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]
  ...
  [1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]]

 [[1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]
  ...
  [1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]]

 ...

 [[1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]
  ...
  [1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]]

 [[1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]
  ...
  [1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]]

 [[1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]
  ...
  [1. 1. 1.]
  [1. 1. 1.]
  [1. 1. 1.]]]","Lawyer Joe Morse wants to consolidate all the small-time numbers racket operators into one big powerful operation. But his elder brother Leo is one of these small-time operators who wants to stay that way, preferring not to deal with the gangsters who dominate the big-time."
730,The Arrival,6,charlie sheen channels inner kevin smith unique take genre sure little xfilesy lot twists either glaringly obvious make zero sense large pretty original the climatechange message beat head little gently handle obviously didnt take anyway considering twenty years later problems gotten worse final had lot appealed quite work whole,"[[[0.05882353 0.01176471 0.06666667]
  [0.05882353 0.01176471 0.06666667]
  [0.05098039 0.00392157 0.05882353]
  ...
  [0.16862746 0.16470589 0.28627452]
  [0.20392157 0.2        0.32156864]
  [0.21176471 0.2        0.32156864]]

 [[0.05882353 0.00784314 0.07450981]
  [0.06666667 0.01568628 0.08235294]
  [0.0627451  0.01176471 0.07843138]
  ...
  [0.2        0.19607843 0.31764707]
  [0.19607843 0.19215687 0.3137255 ]
  [0.19607843 0.18431373 0.30588236]]

 [[0.0627451  0.01568628 0.07058824]
  [0.06666667 0.01960784 0.07450981]
  [0.07058824 0.02352941 0.07843138]
  ...
  [0.16862746 0.16862746 0.2784314 ]
  [0.1764706  0.1764706  0.28627452]
  [0.21568628 0.20392157 0.31764707]]

 ...

 [[0.01960784 0.         0.02352941]
  [0.01960784 0.         0.02352941]
  [0.01960784 0.         0.02352941]
  ...
  [0.01960784 0.         0.02745098]
  [0.01960784 0.         0.02745098]
  [0.01960784 0.         0.02745098]]

 [[0.01960784 0.         0.02352941]
  [0.01960784 0.         0.02352941]
  [0.01960784 0.         0.02352941]
  ...
  [0.01960784 0.         0.02352941]
  [0.01960784 0.         0.02352941]
  [0.01960784 0.         0.02352941]]

 [[0.01960784 0.         0.02352941]
  [0.01960784 0.         0.02352941]
  [0.01960784 0.         0.02352941]
  ...
  [0.01960784 0.         0.02352941]
  [0.01960784 0.         0.02352941]
  [0.01960784 0.         0.02352941]]]","Zane Ziminski is an astrophysicist who receives a message that seems to have extraterrestrial origins. Eerily soon after his discovery, Zane is fired. He then embarks on a search to determine the origins of the transmission that leads him into a Hitchcockian labyrinth of paranoia and intrigue."
732,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8,stanley kubricks film idrnbspstrangelovei hilarious film nuclear annihilation human race its plot combines three strands lead inevitably doomsday in first air force base commander sterling hayden goes insane launches gocode drop bomb targets russia british captain officer exchange program peter sellers tries reason in second strand see crew commanded cowboyish major kong slim pickens prepare drop bomb finally scenes pentagon war room american president peter sellers harangues general georgenbspc scott could happened mysterious german scientist drnbspstrangelove peter sellers yet offers solution originally meant straightforward adaptation political thriller novel idrnbspstrangelovei became madcap comedy the characters sexual quirks anticommunist hysteria nonchalance coming apocalypse exaggerated point farce no peter sellers film shows range talents well segues effortlessly captain mandrake nervous fellow british accident already antiquated time film made staid american politician president merkin muffley dr strangelove one nazi scientists usa brought world warnbspii filmgoers must perceived film somewhat differently threat nuclear annihilation felt real contemporary audiences wont fully get black black comedy nonetheless film remains perennially funny even numerous viewings last years still laugh every time us bomber plane heading russia communications unavailable the commie russians built doomsday device and according crazy wheelchairbound exnazi scientist dr strangelove nuclear destruction upon us thanks eccentric comedy considerable respect talent peter sellers how pulled three totally different roles convincingly beyond especially portrayal us president could hardly believe british peter sellers could american accent naturally this apparently black comedy time threat nuclear war really thing filmed offbeat humorous script includes eyebrowraising edgy dialogue scenes would recommend yes open mind taste truly bizarre kind comedy,"[[[0.3137255  0.3137255  0.3137255 ]
  [0.30588236 0.30588236 0.30588236]
  [0.2901961  0.2901961  0.2901961 ]
  ...
  [0.3647059  0.3647059  0.3647059 ]
  [0.33333334 0.33333334 0.33333334]
  [0.3254902  0.3254902  0.3254902 ]]

 [[0.32941177 0.32941177 0.32941177]
  [0.2901961  0.2901961  0.2901961 ]
  [0.33333334 0.33333334 0.33333334]
  ...
  [0.34901962 0.34901962 0.34901962]
  [0.36078432 0.36078432 0.36078432]
  [0.34509805 0.34509805 0.34509805]]

 [[0.3254902  0.3254902  0.3254902 ]
  [0.3137255  0.3137255  0.3137255 ]
  [0.32156864 0.32156864 0.32156864]
  ...
  [0.34901962 0.34901962 0.34901962]
  [0.36078432 0.36078432 0.36078432]
  [0.33333334 0.33333334 0.33333334]]

 ...

 [[0.7921569  0.7921569  0.7921569 ]
  [0.7647059  0.7647059  0.7647059 ]
  [0.7607843  0.7607843  0.7607843 ]
  ...
  [0.73333335 0.73333335 0.73333335]
  [0.7372549  0.7372549  0.7372549 ]
  [0.7254902  0.7254902  0.7254902 ]]

 [[0.78039217 0.78039217 0.78039217]
  [0.7764706  0.7764706  0.7764706 ]
  [0.77254903 0.77254903 0.77254903]
  ...
  [0.7294118  0.7294118  0.7294118 ]
  [0.7137255  0.7137255  0.7137255 ]
  [0.73333335 0.73333335 0.73333335]]

 [[0.77254903 0.77254903 0.77254903]
  [0.7529412  0.7529412  0.7529412 ]
  [0.78039217 0.78039217 0.78039217]
  ...
  [0.7294118  0.7294118  0.7294118 ]
  [0.75686276 0.75686276 0.75686276]
  [0.7607843  0.7607843  0.7607843 ]]]","Insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union. As soon as the actions of General ""Buck"" Turgidson are discovered, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike. Near the end is a scene that is probably the most uniquely unforgettable performance of Slim Pickens in his movie career. Peter Sellers plays multiple roles in this film."
743,The Phantom,5,campy fun time seen times years look goofy purple outfit billy zane good role shame didnt get followup bit surprising hasnt sort series adaptation material,"[[[0.52156866 0.01176471 0.4392157 ]
  [0.50980395 0.01568628 0.4392157 ]
  [0.5019608  0.01960784 0.4392157 ]
  ...
  [0.79607844 0.1254902  0.5647059 ]
  [0.8        0.15294118 0.5647059 ]
  [0.7921569  0.16862746 0.5686275 ]]

 [[0.5411765  0.00392157 0.4509804 ]
  [0.5568628  0.00392157 0.45490196]
  [0.52156866 0.00784314 0.44705883]
  ...
  [0.79607844 0.11764706 0.5686275 ]
  [0.78431374 0.1254902  0.56078434]
  [0.7882353  0.13725491 0.56078434]]

 [[0.64705884 0.00392157 0.4862745 ]
  [0.627451   0.00784314 0.48235294]
  [0.5803922  0.00392157 0.4627451 ]
  ...
  [0.8156863  0.16862746 0.5803922 ]
  [0.76862746 0.09411765 0.53333336]
  [0.7647059  0.08235294 0.5254902 ]]

 ...

 [[0.6901961  0.00784314 0.49411765]
  [0.70980394 0.         0.5137255 ]
  [0.70980394 0.00784314 0.5176471 ]
  ...
  [0.5372549  0.00392157 0.4392157 ]
  [0.49803922 0.01568628 0.43137255]
  [0.4745098  0.01568628 0.42352942]]

 [[0.64705884 0.01176471 0.48235294]
  [0.6627451  0.         0.49803922]
  [0.6509804  0.         0.49411765]
  ...
  [0.4745098  0.02352941 0.41960785]
  [0.4627451  0.02352941 0.41568628]
  [0.4627451  0.02352941 0.42352942]]

 [[0.5921569  0.00784314 0.47843137]
  [0.60784316 0.         0.49411765]
  [0.60784316 0.         0.49803922]
  ...
  [0.44313726 0.02745098 0.38039216]
  [0.4509804  0.03137255 0.4       ]
  [0.43529412 0.03921569 0.4       ]]]",The 21st successor to the role of Bengalla's resident superhero must travel to New York to prevent a rich madman from obtaining three magic skulls that would give him the secret to ultimate power.
