,label,sentences
27,7,"I recently watched this production of Jane Austen’s Persuasion after not seeing it for many years.  It is not the best version in my opinion, but it was well worth watching. Like most British productions of this sort, it depends upon a talented ensemble cast rather than a few superstars as top billing.

It has also been a long time since I have read Jane Austen’s that this movie is based upon, and after seeing how this and two other versions stray from each other’s, in small ways that is, I would be curious to know how often each one remains true to the original. But that is not necessary to enjoy this well made production; it merely makes we wish I could take my favorite parts from all three versions to create a new whole. Failing that, I will merely say that this production, as with the others, should be acceptable to Jane Austen lovers who aren’t mortified by the least changes to her books.

I don’t know how easy it might be to track down this movie. As I understand it, it was originally released on British TV, but PBS in the United States had shown an interest due to a popularity of Jane Austen adaptations at the time, so that had allowed for an increased budget to film at actual sites in the book, built up some interest, and then was released as a feature film in theaters before it appeared on PBS, complete with an introduction by Russell Baker. 

A lot of actresses auditioned for the lead role. Amanda Root apparently drew the directors attention by understanding that the internal nature of the book meant that the actress playing Anne would have to illustrate her state of mind his less dialogue than usual. An interesting history, that."
30,6,"This would have only been ordinary because it's simply adequately directed, has an entire cast of unknowns save for the star, and is from a cliché-riddled script, but this is honestly one of Michelle Pfeiffer's more interesting performances. While she's not entirely convincing as a career-Marine, she's certainly more so than Demi Moore, who tried the stunt not long afterwards, and she's certainly believable as a caring teacher. An intriguing film for Simpson and Bruckheimer to be associated with, this was back in the day, after her career-defining 'Catwoman' role in 'Batman Returns' that she was still getting great starring roles (I greatly look forward to checking her out opposite Daniel Day-Lewis in 'The Age of Innocence'). My favourite work of hers will always be in 'Scarface', but this is right up there IMHO--some really fine acting by her. It's simply a shame only one note was asked of her--had it been a more multi-dimensional character (ie., love or family interests--I've read a possible romance scene with Andy Garcia was left on the cutting room floor so they could focus on her interaction with the students), it would have been even more inviting to watch."
35,7,"This is a terrific movie, with dramatic power and a balanced look at the issue of capital punishment. It is based on a true story written and lived by a nun, Sister Helen Prejean though, as usually happens, the story is modified to fit the needs of a dramatic movie. For example, the two inmates she provided spiritual advice to are merged into one for this film. As a side note, Sister Prejean has an uncredited appearance in a scene concerning a vigil.

The movie is gritty at times,but always watchable. Susan Surandon received an academy award for her performance.

In addition to it being a great movie, there are two soundtrack albums of note. The first is the soundtrack, featuring an array of songs by Springsteen, Johnny Cash and others. Also there is a movie score version, with music of a more atmospheric nature. I use it to read or write fiction to sometimes."
41,7,"Brothers In Arms.

Albert and Allen Hughes direct, produce and co-write (with Michael Henry Brown) this tale about Anthony Curtis (Larenz Tate), a South Bronx boy who goes off to fight in Vietnam, to then return after his tours of duty to find things just aren't the same anymore. The follow up to their incendiary debut, Menace II Society, the Hughes brothers deliver another in your face picture that is quite frankly on a perpetual downer. This is no bad thing, though, as long as you are not looking to be cheered up.

That's Uncle Sam for you! Mean Green.

The pic very much harks back to the glory days of film noir in the 40s and 50s, where some talented film makers began to tell stories of returning war veterans finding what they left behind is now alien to them - with some characters, as is the case here - deeply scarred by their experiences. Add in some gangster elements and the coup de grâce that is the scintillating heist, and clearly the brothers have seen many an old classic film. That the narrative is tried and tested stops the piece hitting greater heights, this in spite of some super acting (especially Tate and the always value for money Keith David) and the hard hitting violence that pierces the senses. Predictable yet potent, and certainly memorable, it's well worth a look for the tough of mind and the classic era film of heart. 7/10"
43,5,"Mortal Kombat was one of the most popular, and controversial video games of the 90s, so naturally, in 1995, New Line Cinema released a live- action film adaptation. When the film was being advertised, several people were either excited for it, or skeptical due to Street Fighter being a total stinker, and since the film was rated PG-13, which meant the violence and gore from the game had to be toned down to appeal to the then-young MK fan base. Thankfully, all expectations were surpassed as Mortal Kombat actually turned out to be, believe it or not, a good video game movie. Upon its release, the film was, surprisingly, a box- office success, making it the first video game adaptation to be successful both financially, and with fans, despite mixed reviews from critics (although Gene Siskel gave the movie a thumbs up). To this day, it is considered one of the better game to film translations. Now, it's time to find out why that is the case.

The film succeeds by sticking to the plot of the first game while incorporating elements from Mortal Kombat II. The plot itself is very similar to Enter the Dragon (which I consider to be the greatest Martial Arts film ever made), but with a supernatural twist to it, which is rather refreshing, and helps it stand on its own. Unlike Street Fighter where the focus was on Guile instead of Ryu and Ken (the original protagonists of that franchise), this movie centers mostly around the Mortal Kombat game's original protagonist; Liu Kang.

All of the characters from the first Mortal Kombat game (as well as a few from MKII) are present in the film, and are given appropriate development, and screen time. The casting is also spot-on. This is one of the few adaptations of a video game, comic book, and cartoon show (at least one of the few I could think of) where all of the actors are cast perfectly. Christopher Lambert, and Cary-Hiroyuki Tagawa are especially great as Rayden and Shang Tsung (respectively), they deliver the right amount of charisma without chewing the scenery. Linden Ashby also plays a great Johnny Cage since he brings the character's cocky personality to life, and delivers some of the best humor in this movie. But my favorite casting choice in the film has to be Robin Shou as Liu Kang. Not only is Liu my favorite character in the games, but Shou looks very much like the character, and makes you feel for him by showing his impulsiveness, and guilt over the death of his brother. It's a shame he didn't receive more starring vehicles after this movie, because I feel he is a capable actor, and Martial Artist. He definitely has more of a personality than Steven Seagal.

While the movie is rated PG-13, and doesn't contain the large amounts of gore from the game, it does make up for this area with the large amounts of Martial Arts action. The fight scenes are very well done, and often emulate more of the Hong Kong style of fight choreography, which was a refreshing change from most American action films prior to this. They also incorporate several of the special moves from the game, such as Liu Kang's bicycle kick, Scorpion's spear that comes out of his hand, etc., and they manage to make them look believable, and not embarrassing, unlike Street Fighter.

The person who directed this movie is Paul W.S. Anderson, and if that name sounds familiar, that's because this is the same man who would later go on to butcher Alien vs. Predator, and the Resident Evil movies. Despite his more recent efforts, he does a solid job directing this film. One of the strong points of his direction (aside from how well he filmed the fight scenes) is how he handled the movie on a technical, and design level. The cinematography, set designs, and lighting are stylish, and keep in touch with the game's dark, and mystical atmosphere. The special FX in the movie are also pretty cool, granted, they aren't exactly Terminator 2, or Jurassic Park, but they work fine for a film released in 1995. Though not everything is CGI, the character of Goro is a puppet, which still looks good to this day, and were created by special FX masters Alec Gillis, and Tom Woodruff, Jr.

Overall, Mortal Kombat is still a fun film to watch. It made up greatly for Street Fighter, and in my opinion, it still is one of the best video game movies (right up there with Street Fighter: Assassin's Fist). It may not be Oscar winning material, but it is one of my personal favorite movies, and as a huge fighting game fan, I couldn't be any more proud of it."
46,8,"He's experienced about as much pain and suffering as anyone I've encountered, give or take, and he still has Hell to look forward to. 
 
""Warning: Spoilers""
 
Seven is directed by David Fincher and written by Andrew Kevin Walker. It stars Morgan Freeman, Brad Pitt, Gwyneth Paltrow, Kevin Spacey and R. Lee Ermey. Music is scored by Howard Shore and cinematography by Darius Khondji.

An unnamed US city and two cops are on the trail of a serial killer who kills his victims according to which one of the seven deadly sins they have committed.

Having been stung by the studio interference and negative fall out regarding his directorial debut feature film, Alien 3, David Fincher waited three years before committing to a project that he had control over. The result was Seven, a dark masterpiece of unremitting creeping dread that showcased the work of a clinically excellent director. Seven is not just a movie, it's an experience, an assault on the senses, a jolt to the brain, a trawl through the dark recess of some sick city where it always rains and the darkness holds many fears. This is no boorish slasher movie, it's psychological discord 101, we only see the aftermath of crimes, the discussions of which forces us to delve deep into our own imagination to fill in the blanks, forcing us to go where we don't want to go, you sense the director is somewhere gleefully pulling our strings.

""But that's the point. We see a deadly sin on every street corner, in every home, and we tolerate it. We tolerate it because it's common, it's trivial. We tolerate it morning, noon, and night. Well, not anymore. I'm setting the example. What I've done is going to be puzzled over and studied and followed... forever""

Seven is very much an ultimate horror film, really is there anything more scary than a serial killer who is smarter than the cops chasing him? Not only that but they are, oblivious as they be, part of the master plan. This killer is not only unstoppable in perpetrating his violent crimes, he is, as Freeman's weary retirement bound Detective Somerset says, methodical and patient. It's going to end bad, the cops know it and so do we, and that's when Fincher and Walker stick their hands into our guts and pull out the last semblance of solids to deliver one of the greatest endings of modern cinema. An ending fit to grace any noir, neo-noir or smart ass psychological horror movie from across the ages. With each viewing of Seven there's the repeating wave of bleak emotions that come as the reversed end credits roll, desolation and disbelief, sadness and shock, our trip through earthly hell is over, but only in the psychical sense!

Faultless cast performances, no doubt eked out by what we now know is a task-master director, photography that brilliantly brings to ""light"" the melancholic sheen of a decaying society and a Howard Shore score that crawls out of the speakers and cloaks your body like some evil Incubus or Succubus. Seven, a masterpiece of unease and evil wrung out by a master director. 10/10 Se7en put David Fincher on the map with this uber-creepy mystery thriller. The crime scenes are so grisly Seven is often ranked with top horror movies. And the ending -- hoo boy. One of the best twists in modern movie history. If you enjoy reading my Spoiler-Free reviews, please follow my blog @
https://www.msbreviews.com

I've never written or even thought about my favorite movies of all-time. I don't believe in having a definite Top10 or Top20 of every film I've ever seen. However, if I had to write this special list, I have no doubts that Se7en would be there. Obviously, this is a rewatch of the classic movie that impacted filmmaking and launched David Fincher's remarkable career (I also ignore the fact that Alien 3 is connected to Fincher due to the known production issues). With his next film, Mank, coming up on Netflix in a few weeks, I decided to go through part of his filmography. Se7en will be the first out of five Fincher's movies that I will be able to revisit throughout this week.

I've seen this film countless times, but to be completely honest, I haven't seen it in so long that I didn't remember exactly some important plot points and a key component about the ending. This helped me experience Se7en in a fascinating way once again. Andrew Kevin Walker's screenplay has one of the most intriguing, mysterious, captivating narratives I've ever witnessed, still to this day. From the very beginning to the last second, I'm constantly at the edge of my seat (in this case, my couch) with severe anxiety levels and feeling incredibly tense. Biting my nails, moving my leg up and down, changing positions… it's so mesmerizing that I'm only writing about it more than twenty-four hours after I watched it.

One of the most impressive aspects is how Fincher is able to leave the viewer uncomfortable with showing only a single death on-screen. This is an extremely dark, gory, blood-soaked, gruesome flick, packed with horrible displays of dead bodies, but never the actual murder scene. With just a simple photo or a straight line of dialogue, Fincher lets the viewer's imagination do the work, and it's undoubtedly as or more effective than a visually horrific killing sequence. As the premise implies, the serial killer is inspired by the ""seven deadly sins"", and he goes after the respective sinners, killing them (or letting them kill themselves) in an innovative fashion, turning the sin against the sinner.

The gluttony and sloth cases are visually brutal, but the lust murder is the one that keeps haunting my memory. The latter is also the less explicit, left to open-minded people to imagine the despicable act. In 1995, a movie with such a dismal environment and dark story couldn't be well-received, and Se7en got its fair share of negative reviews stating that it was too obscure, sinister, overly violent and that the ending was absolutely unacceptable. Over time, it found its success, it gained fans all around the world, and it's now considered by many as one of the greatest films ever made, myself included. From the outstanding cast to the astonishingly enthralling detective work, the third act stands out as one of the most shocking endings of all-time.

I'm keeping this review spoiler-free because I don't want readers who have not seen this movie to have such a magnificent piece of cinema ruined for them. That's why I'm also hiding a certain actor from the starring section, just like the marketing team did at the original date of release (I'll get there). Fincher's third act is simply flawless. Everything displayed on-screen in the last twenty minutes is filmmaking perfection. From the impressively suspenseful build-up to that jaw-dropping climactic moment, passing through a mind-blowing revelation, Se7en's conclusion is and will remain as one of the most brutally shocking endings in the history of cinema.

Morgan Freeman and Brad Pitt share fantastic chemistry, portraying two iconic characters that couldn't be more different than one another. Somerset is a notable detective with extreme attention to detail, knowledgeable, and always curious about the case at hand. Freeman incorporates this character effortlessly, delivering a subtle yet powerful performance. Pitt portrays Mills, a childish, unfocused, immature replacement to the previous detective about to retire. Despite its apparent lack of work ethics, Mills is clever, relentless in finding the killer, and desperately wants to prove himself. Pitt, just like Freeman, embodies this persona seamlessly and also gives an outstanding interpretation.

Technically, where should I begin? From the haunting score of Howard Shore to the documentary-like cinematography (Darius Khondji) that offers a tremendously realistic atmosphere, it's the phenomenal production design that stands out. Fincher really wanted the dirty, rainy, depressing city to feel authentic and as real as possible. The first dialogues of the film are meant to point out the bleakness and awfulness of the city, but even without these conversations, any viewer will be able to acknowledge the absence of color, joyfulness, and life in this unknown location. Fincher's filmmaking techniques are demonstrated in plain splendor for everyone to see, and this was just his beginning.

Movies like Se7en are impossible to be made today, period. It would never be conceivable to completely hide one of the main actors from the press tour and/or trailers. We live in a time where the promotion of a film must have everything and everyone. Nowadays, trailers show way too much, and this isn't news to anyone. The ending was forced by Pitt and Fincher since the studio wanted a more mainstream conclusion. Today, filmmakers may have more freedom, but there are still countless cases of executive producers changing a movie without the director's will and/or permission. Se7en was a film released in a time where it should have never been released in the first place. Fortunately, it was.

Se7en might be the best director's sophomore movie in the history of cinema, and it's undoubtedly one of my favorite films of all-time. David Fincher's classic possesses one of the most captivating screenplays I've ever witnessed, marked by an extremely dark, somber, violent, gruesome story that ends with one of the most emotionally shocking conclusions to a movie, ever. The lack of on-screen death scenes is both the most surprising and effectively powerful element of the whole film, leaving the unpleasant work of imagining a specific type of murder to the viewer's mind. Morgan Freeman and Brad Pitt are extraordinary as the now iconic detectives, delivering two truly brilliant performances. Fincher's trademark filmmaking style started here, as every technical aspect contributes to the movie's incredible realism. From the simple, documentary-like camera work to the ominous score, it's the authentic production design that sets the depressing tone, the bleak atmosphere, and the rainy, colorless, lifeless city. Overall, it's a technically flawless piece of art. One of the greatest films ever made…. I can't recommend it more.

Rating: A+"
47,7,"Good offering from Disney.

<em>'Pocahontas'</em> is an enjoyable flick from 1995. The animation is lovely, while the voice cast each do fine jobs. The premise raises noteworthy thoughts regarding British colonisation. It isn't perfect and isn't in-depth by any means, but I like what the film takes on.

Irene Bedard does well in the lead role, while the seemingly ever topical Mel Gibson supports ably. It's also interesting to hear a young Christian Bale involved as Thomas. Billy Connolly appears too, though only minorly.

The animation and music are the key parts to this. The songs aren't massively memorable but are catchy, the score is solid throughout but really comes up big at the end. Most of the humour, mainly with the animals, is fun too.

Overall, it's a production worth watching."
49,8,"Great movie with superb performance from Kevin Spacey, well accompanied with the rest of the cast. Keaton always said, ""I don't believe in God, but I'm afraid of him."" Well I believe in God, and the only thing that scares me is Keyser Soze. 

The Usual Suspects is directed by Bryan Singer and written by Christopher McQuarrie. It stars Gabriel Byrne, Kevin Spacey, Kevin Pollack, Stephen Baldwin, Benicio Del Toro, Chazz Palminteri, Pete Postlethwaite, Giancarlo Esposito and Dan Hedaya. Music is by John Ottman and cinematography by Newton Thomas Sigel.

Held in an L.A. interrogation room, Verbal Kint (Spacey) attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. 

It sort of sidled into movie theatres in 1995 with no fanfare or heralded notices. Yet it wasn't long before word of mouth got around that The Usual Suspects might actually be the must see film of the year. Fledgeling director and writer - Singer and McQuarrie - produce a masterclass of crime/mystery/noir plotting in a whirl of intricate plot shifts and deft sleights of hand.

The core essence of the story is simple, just who is Keyser Soze? His reputation is one of utter fear, he may even be the devil himself. What transpires throughout the film is a number of scenes told in flashback form and narrated by Kint as the cops put the heat on him. 

We are introduced to the five criminals who make up the suspects of the title, where dialogue pings with machismo laced humour. The addition of Postlethwaite's Kobayashi character, one of Soze's harbinger's of doom, further ups the ante of the story's deliciously corkscrew intrigue.

It all builds to a climax that - has you pondering just what you have watched previously. Yet here's the key as to why the pic still holds up on repeat viewings, we have been outsmarted, for as we dive in and enjoy the across the board great perfs, we have been privy to something that will stand the test of time for the genre it sits in. The repeat viewings factor still, some decades later, is as strong as ever.

The advent of time and home format releases etc have only improved the pic's own mythical status. Behind the scenes egos and dislikes on set only add further strength to the characterisations, as does one main man thinking he himself must be Soze when in fact he was way off. There's a trail of clues in the film that will reveal who Soze is - who knew!? - and on it goes. The Usual Suspects is the filmic gift that keeps on giving. 10/10"
53,5,"Starts off in wayward fashion, but it actually turns into a solid - if predictable - kids sports film.

It's about time Disney did a production about football/soccer for the big screen, suppose the way the sport blew up in the US after the 1995 World Cup was the catalyst. That's not to say it's a serious football film, it certainly isn't and the ball game isn't even the main takeaway from events - it's more about people caring and coming together. It's rather nice.

There's nothing really noteworthy about the cast to be honest, Olivia d'Abo (Anna) and Steve Guttenberg (Tom) are, I guess, the standouts. Kate's (Jessica Robertson) story has heart, as does Juan's (Anthony Esquivel), but they as actors don't get much to work with.

Pretty plain I'll admit, but I found <em>'The Big Green'</em> an enjoyable enough watch."
56,6,"The dialogue is a bit unnatural and the characters are over the top, but it's okay. Worth watching if you're in the mood for a light-hearted 90s family comedy/drama. It has its moments."
61,7,"***Taking a bypass from your dreams and finding your true calling***

A composer (Richard Dreyfuss) puts his lofty ambitions on hold to become a high school music teacher in Portland, Oregon, from 1965-1995. Glenne Headly plays his wife, Jay Thomas the coach, Olympia Dukakis the principal and William H. Macy the irritating vice principal.     

""Mr. Holland’s Opus"" (1995) is a good school-oriented drama that’s episodic in nature since it spans 30 years. The first 40 minutes were decent, but I was wondering if the film would be able to absorb me into its story, especially considering its considerable length. It did, particularly the episodes concerning Terrence Howard (playing Louis Russ) and angelic Jean Louisa Kelly (Rowena).  

The movie’s kind of a meshing of “Dead Poets Society” (1989) crossed with “Forrest Gump” (1994), although not great like either of those flicks. But it’s a solid drama. A 19 year-old Alicia Witt is on hand as one of the students in the first act.

The film runs 2 hours, 23 minutes and was shot in Portland, Oregon, and nearby Marylhurst.

GRADE: B"
